id;account_holder_name;account_number;iban_number;swift_code;bank_address;country;reference_no
1;Maryland Cotton Steel;Coordinator;digital 1080p;COM;quantify RAM Virginia;Burundi;Niue
2;compressing Soap Ergonomic;programming structure;reciprocal Architect Cambridgeshire;reboot 3rd;Djibouti;Niue;expedite Plastic
3;paradigm Functionality Chips;enterprise Liaison;Tobago functionalities Optimized;Central;Estonia hacking;Hong Kong;Licensed
4;Small Developer;core Account up;blue;Shoes;1080p;Venezuela;Tasty Bacon Rustic
5;Toys;portals Pants;Car;Frozen indigo Rubber;De-engineered Dirham;Netherlands Antilles;Clothing
6;grey Haiti;Metal Electronics eyeballs;invoice;process;Regional;Virgin Islands, U.S.;Global bricks-and-clicks Account
7;unleash;orange Handmade invoice;back-end California;cross-platform;Response;Botswana;Generic Human
8;deposit;Savings vortals Infrastructure;program XML Forward;Quality;encompassing Re-engineered syndicate;Dominican Republic;hacking Cambodia
9;Customer Liaison Rubber;Reactive;brand platforms;Tunnel;Marketing Web Electronics;Indonesia;Frozen indigo front-end
10;multi-byte revolutionary Sharable;projection exuding;communities haptic;Beauty;Florida;Switzerland;Fresh
